Date,Asleep,SWS,REM,Respiratory rate (rpm),Sleep need (min),Sleep performance %
2024-02-03,5:46,1:28,1:38,15.8,9:48,59.0
2024-02-02,5:52,1:04,1:38,15.9,10:08,58.0
2024-02-01,5:13,1:19,1:12,15.5,9:44,54.0
2024-01-31,5:26,1:20,1:31,15.8,9:41,56.0
2024-01-30,5:20,1:24,1:44,15.6,9:10,58.0
2024-01-29,5:15,1:35,1:43,15.5,7:58,66.0
2024-01-28,5:15,0:54,1:14,16.1,7:50,67.0
2024-01-27,5:30,1:14,0:54,15.9,7:56,69.0
2024-01-26,8:07,1:33,2:21,15.9,8:11,99.0
2024-01-25,6:28,1:16,1:15,15.7,7:07,91.0
2024-01-24,6:16,1:08,1:54,15.6,7:21,85.0
2024-01-23,6:06,1:26,1:55,15.6,7:49,78.0
2024-01-22,11:29,0:08,0:16,17.1,7:45,100.0
2024-01-21,8:08,2:22,2:41,15.0,8:23,97.0
2024-01-20,7:17,1:28,1:52,15.1,8:19,88.0
2024-01-19,6:56,1:29,1:47,15.6,9:35,72.0
2024-01-18,2:09,0:25,0:27,14.6,8:16,26.0
2024-01-17,7:21,1:52,2:36,15.7,8:05,91.0
2024-01-16,7:27,1:41,2:06,14.9,7:44,96.0
2024-01-15,8:12,1:10,2:19,15.5,7:35,100.0
2024-01-14,7:26,1:13,1:49,16.2,6:51,100.0
2024-01-13,6:33,1:20,2:01,16.6,7:59,82.0
2024-01-12,7:33,1:35,1:44,15.9,7:00,100.0
2024-01-11,5:26,1:34,1:32,16.2,6:35,82.0
2024-01-10,7:33,1:12,1:38,16.1,7:51,96.0
2024-01-09,7:35,2:08,2:16,16.0,7:37,99.0
2024-01-08,7:20,1:31,2:56,15.7,7:18,100.0
2024-01-07,6:21,1:36,1:46,16.6,7:48,81.0
2024-01-06,7:59,1:47,1:14,15.8,8:13,97.0
2024-01-05,8:07,1:35,2:06,15.9,7:15,100.0
2024-01-04,6:14,1:26,1:32,15.9,7:09,87.0
2024-01-03,7:56,0:59,1:52,17.1,7:11,100.0
2024-01-02,6:50,1:55,1:00,17.3,9:08,75.0
2024-01-01,6:55,1:12,1:42,16.0,9:06,76.0
2023-12-24,6:13,1:43,1:40,16.3,9:02,69.0
2023-12-23,5:40,1:22,1:35,15.9,8:18,68.0
2023-12-22,7:16,1:46,2:14,15.4,8:32,85.0
2023-10-31,6:19,1:30,1:18,15.4,7:44,82.0
2023-10-30,6:38,1:17,1:48,15.8,6:07,100.0
2023-10-29,-,-,-,,-,
2023-10-28,7:46,1:41,2:28,15.9,7:53,99.0
2023-10-27,7:46,2:17,2:43,16.7,8:37,90.0
2023-10-26,6:58,1:02,1:39,16.5,8:24,83.0
2023-10-25,5:23,1:10,1:29,16.4,6:35,82.0
2023-10-24,6:50,1:16,2:29,16.5,8:24,81.0
2023-10-23,7:21,1:55,2:30,16.5,8:37,85.0
2023-10-22,6:08,1:27,1:37,16.3,7:38,80.0
2023-10-21,5:22,0:52,1:30,16.6,8:13,65.0
2023-10-20,6:55,2:01,2:20,15.9,7:39,90.0
2023-10-19,5:56,1:07,1:02,16.1,9:47,61.0
2023-10-18,3:48,1:02,0:56,16.8,8:28,45.0
2023-10-17,3:34,0:54,1:04,15.6,8:40,41.0
2023-10-16,6:49,1:31,2:26,15.8,8:45,78.0
2023-10-15,7:21,1:31,2:24,16.1,8:33,86.0
2023-10-14,6:49,1:33,1:48,16.0,8:44,78.0
2023-10-13,6:48,2:07,1:54,16.4,8:18,82.0
2023-10-12,6:11,1:17,2:25,16.2,7:35,81.0
2023-10-11,5:42,1:08,1:58,16.8,3:41,100.0
2023-10-09,5:38,0:48,1:48,16.5,6:38,85.0
2023-10-08,7:22,1:40,2:03,16.8,8:00,92.0
2023-10-07,7:13,1:36,2:52,16.2,7:49,92.0
2023-10-06,6:33,1:29,1:22,16.7,9:33,69.0
2023-10-05,5:17,1:20,1:36,16.3,9:12,57.0
2023-10-04,6:07,1:30,1:28,16.7,8:49,69.0
2023-10-03,7:10,1:23,1:44,16.5,9:05,79.0
2023-10-02,6:13,1:31,2:02,16.0,8:33,73.0
2023-10-01,7:20,1:43,2:03,16.7,8:41,84.0
2023-09-29,7:39,1:38,1:50,16.6,9:05,84.0
2023-09-28,6:32,1:14,1:16,16.8,8:39,76.0
2023-09-27,6:08,1:03,1:37,16.3,8:12,75.0
